Object,Filter,MJD,Flux,Error
Mrk142,M2,58547.956,5.268,0.427
Mrk142,M2,58548.952,4.811,0.164
Mrk142,M2,58550.146,4.91,0.164
Mrk142,M2,58550.612,5.282,0.161
Mrk142,M2,58551.143,4.874,0.158
Mrk142,M2,58551.673,5.243,0.166
Mrk142,M2,58552.146,4.978,0.163
Mrk142,M2,58552.603,5.148,0.162
Mrk142,M2,58553.142,5.109,0.162
Mrk142,M2,58554.134,5.316,0.168
Mrk142,M2,58554.599,5.1,0.155
Mrk142,M2,58555.133,4.833,0.151
Mrk142,M2,58555.664,4.956,0.151
Mrk142,M2,58556.464,4.788,0.149
Mrk142,M2,58556.722,4.98,0.161
Mrk142,M2,58558.052,5.481,0.174
Mrk142,M2,58558.923,5.79,0.167
Mrk142,M2,58559.181,5.914,0.186
Mrk142,M2,58560.315,6.065,0.171
Mrk142,M2,58560.847,5.957,0.169
Mrk142,M2,58561.311,5.961,0.172
Mrk142,M2,58563.899,6.182,0.185
Mrk142,M2,58564.754,6.076,0.186
Mrk142,M2,58565.358,6.017,0.169
Mrk142,M2,58566.89,5.594,0.174
Mrk142,M2,58567.819,5.42,0.166
Mrk142,M2,58568.604,5.037,0.175
Mrk142,M2,58569.411,5.167,0.154
Mrk142,M2,58571.199,4.898,0.154
Mrk142,M2,58573.525,4.456,0.151
Mrk142,M2,58574.456,4.669,0.157
Mrk142,M2,58575.458,4.851,0.159
Mrk142,M2,58576.251,4.948,0.165
Mrk142,M2,58577.38,5.015,0.154
Mrk142,M2,58578.509,4.812,0.16
Mrk142,M2,58579.371,4.923,0.168
Mrk142,M2,58580.235,5.184,0.169
Mrk142,M2,58584.551,5.438,0.171
Mrk142,M2,58585.347,5.598,0.167
Mrk142,M2,58586.609,5.353,0.174
Mrk142,M2,58587.539,5.048,0.156
Mrk142,M2,58589.804,4.876,0.168
Mrk142,M2,58590.929,4.977,0.161
Mrk142,M2,58591.122,5.021,0.159
Mrk142,M2,58592.517,4.872,0.157
Mrk142,M2,58593.319,4.931,0.155
Mrk142,M2,58594.041,5.126,0.182
Mrk142,M2,58596.503,5.567,0.163
Mrk142,M2,58597.362,5.726,0.168
Mrk142,M2,58602.484,5.068,0.156
Mrk142,W1,58484.345,4.172,0.139
Mrk142,W1,58484.811,4.153,0.14
Mrk142,W1,58485.135,4.066,0.126
Mrk142,W1,58485.931,4.127,0.139
Mrk142,W1,58486.062,4.198,0.13
Mrk142,W1,58487.717,4.111,0.126
Mrk142,W1,58488.189,4.28,0.129
Mrk142,W1,58488.79,4.404,0.134
Mrk142,W1,58489.776,4.042,0.131
Mrk142,W1,58490.712,4.17,0.132
Mrk142,W1,58491.039,4.166,0.132
Mrk142,W1,58491.637,4.011,0.128
Mrk142,W1,58492.035,3.977,0.127
Mrk142,W1,58492.629,3.821,0.127
Mrk142,W1,58493.228,4.005,0.132
Mrk142,W1,58493.97,3.924,0.126
Mrk142,W1,58494.289,3.767,0.129
Mrk142,W1,58494.821,4.017,0.127
Mrk142,W1,58495.026,4.195,0.129
Mrk142,W1,58496.813,4.042,0.129
Mrk142,W1,58497.808,4.249,0.129
Mrk142,W1,58498.273,4.067,0.139
Mrk142,W1,58498.871,4.507,0.135
Mrk142,W1,58499.865,4.191,0.128
Mrk142,W1,58500.199,4.31,0.135
Mrk142,W1,58500.671,4.679,0.134
Mrk142,W1,58501.061,4.433,0.135
Mrk142,W1,58501.665,4.481,0.134
Mrk142,W1,58502.057,4.357,0.135
Mrk142,W1,58503.053,4.22,0.135
Mrk142,W1,58503.783,4.279,0.135
Mrk142,W1,58504.248,4.205,0.13
Mrk142,W1,58505.177,4.347,0.232
Mrk142,W1,58505.186,4.478,0.137
Mrk142,W1,58505.907,4.351,0.132
Mrk142,W1,58506.306,4.487,0.135
Mrk142,W1,58507.371,4.581,0.139
Mrk142,W1,58507.833,4.604,0.14
Mrk142,W1,58508.237,4.567,0.153
Mrk142,W1,58508.84,4.894,0.145
Mrk142,W1,58509.231,4.784,0.142
Mrk142,W1,58509.773,5.06,0.149
Mrk142,W1,58510.831,4.926,0.144
Mrk142,W1,58511.221,5.179,0.149
Mrk142,W1,58511.763,5.15,0.153
Mrk142,W1,58512.421,4.918,0.145
Mrk142,W1,58512.89,4.897,0.143
Mrk142,W1,58513.024,4.67,0.14
Mrk142,W1,58513.746,4.626,0.135
Mrk142,W1,58514.34,4.766,0.144
Mrk142,W1,58516.333,4.804,0.139
Mrk142,W1,58516.875,4.482,0.135
Mrk142,W1,58518.328,4.824,0.141
Mrk142,W1,58518.802,4.772,0.142
Mrk142,W1,58519.39,4.857,0.137
Mrk142,W1,58519.856,5.154,0.152
Mrk142,W1,58520.387,4.87,0.136
Mrk142,W1,58520.853,5.12,0.147
Mrk142,W1,58521.389,5.233,0.145
Mrk142,W1,58521.784,5.121,0.147
Mrk142,W1,58522.384,4.895,0.138
Mrk142,W1,58523.38,4.912,0.136
Mrk142,W1,58523.712,4.81,0.142
Mrk142,W1,58524.377,4.848,0.138
