Object,Filter,Cadence,MJD,Duration,Flux,Error
NGC4593,U,4029,57584.72633,61.76227999,1.12294995,0.025408723
NGC4593,B,4029,57584.72709,61.78434002,1.1130262,0.024348068
NGC4593,HX,4029,57584.72796,772.2520128,0.180513,0.020087
NGC4593,SX,4029,57584.72796,772.2520128,0.199616,0.020931
NGC4593,W2,4029,57584.72895,247.76626,1.2184289,0.023756386
NGC4593,V,4029,57584.73079,61.77331996,1.2676271,0.032937697
NGC4593,M2,4029,57584.7323,189.2918,1.2329331,0.03021967
NGC4593,W1,4030,57584.83877,95.76573998,1.2901771,0.031561652
NGC4593,U,4030,57584.83965,47.78358001,1.1035813,0.028291485
NGC4593,B,4030,57584.84026,47.73944002,1.1046685,0.027823444
NGC4593,HX,4030,57584.84073,604.2620736,0.174781,0.02074
NGC4593,SX,4030,57584.84073,604.2620736,0.247717,0.02479
NGC4593,W2,4030,57584.84171,192.76718,1.2338709,0.02647121
NGC4593,V,4030,57584.84316,47.77253997,1.2702703,0.037041325
NGC4593,M2,4030,57584.84434,148.1279801,1.2645633,0.0340812
NGC4593,U,4031,57584.90716,67.78626001,1.0520285,0.023606607
NGC4593,B,4031,57584.908,67.77522004,1.1094859,0.023726237
NGC4593,HX,4031,57584.90891,822.39408,0.175299,0.024042
NGC4593,SX,4031,57584.90891,822.39408,0.205328,0.026083
NGC4593,W2,4031,57584.91004,272.7779,1.17677,0.02238651
NGC4593,V,4031,57584.91207,67.77520001,1.3357551,0.03286668
NGC4593,M2,4031,57584.91358,184.17254,1.2060803,0.030163396
NGC4593,U,4032,57584.97631,80.77200001,1.1199784,0.023017326
NGC4593,B,4032,57584.9773,80.77200001,1.14285116,0.022423855
NGC4593,HX,4032,57584.97864,987.876,0.245821,0.021774
NGC4593,SX,4032,57584.97864,987.876,0.270405,0.022925
NGC4593,V,4032,57584.98213,80.78303999,1.2816117,0.02979394
NGC4593,W1,4033,57585.23875,166.7625999,1.29389306,0.025197332
NGC4593,U,4033,57585.24024,82.78000003,1.06318695,0.022011881
NGC4593,B,4033,57585.24125,82.77998,1.1012836,0.021722537
NGC4593,HX,4033,57585.2426,1002.919968,0.37935,0.028131
NGC4593,SX,4033,57585.2426,1002.919968,0.481733,0.031767
NGC4593,W2,4033,57585.24372,332.77496,1.0986613,0.019856566
NGC4593,V,4033,57585.24619,82.77998,1.2711572,0.029321994
NGC4593,M2,4033,57585.24804,228.96622,1.1630988,0.02693925
NGC4593,W1,4034,57585.30529,146.7599,1.2524465,0.025966433
NGC4593,U,4034,57585.30661,72.78417999,1.0298442,0.022603432
NGC4593,B,4034,57585.30752,72.77314001,1.1018704,0.02288598
NGC4593,HX,4034,57585.30856,882.569952,0.352664,0.028003
NGC4593,SX,4034,57585.30856,882.569952,0.540434,0.034717
NGC4593,W2,4034,57585.30972,292.7806,1.17366046,0.021751446
NGC4593,V,4034,57585.31189,72.78420001,1.316899,0.031625042
NGC4593,M2,4034,57585.3135,197.34586,1.1829951,0.028942158
